timestamp,site_id,traffic_load,ambient_temp,battery_voltage,psu_temp,fan_speed,power_consumption,failure
2024-01-01 00:00:00,1,44.36,29.06,46.8,46.49,3103.4,10.01,1
2024-01-01 01:00:00,4,43.13,34.24,47.73,49.35,2947.8,8.98,0
2024-01-01 02:00:00,4,61.53,33.67,47.61,43.24,3283.5,11.18,0
2024-01-01 03:00:00,3,62.29,28.04,46.11,43.53,3070.5,10.7,0
2024-01-01 04:00:00,3,41.97,16.32,46.71,39.57,2778.9,8.7,0
2024-01-01 05:00:00,5,43.95,22.47,46.75,38.68,3048.9,8.71,0
2024-01-01 06:00:00,1,58.12,31.82,47.24,36.47,3154.5,10.32,0
2024-01-01 07:00:00,4,37.59,20.25,49.61,30.98,2911.5,8.8,0
2024-01-01 08:00:00,2,43.84,26.37,46.63,37.27,3064.0,9.23,0
2024-01-01 09:00:00,1,51.34,29.69,46.51,48.9,3088.4,10.0,0
2024-01-01 10:00:00,3,64.94,35.35,46.22,40.28,3118.7,11.34,0
2024-01-01 11:00:00,5,40.93,25.12,48.23,39.62,3328.8,9.98,0
2024-01-01 12:00:00,4,22.36,24.78,47.74,38.56,2782.4,6.67,0
2024-01-01 13:00:00,4,21.25,27.74,46.89,49.78,3449.3,6.5,0
2024-01-01 14:00:00,4,31.11,29.75,47.33,35.06,3055.7,7.69,0
2024-01-01 15:00:00,4,30.3,27.23,46.91,43.45,3176.6,7.99,0
2024-01-01 16:00:00,3,47.68,33.25,47.82,41.9,3120.9,10.03,0
2024-01-01 17:00:00,1,32.17,24.0,50.36,42.08,2719.1,8.53,0
2024-01-01 18:00:00,5,39.46,28.6,48.16,43.68,2867.6,9.42,0
2024-01-01 19:00:00,3,38.39,30.23,47.52,42.32,2971.9,8.78,0
2024-01-01 20:00:00,3,43.39,26.0,46.9,47.72,3285.5,9.14,0
2024-01-01 21:00:00,2,69.84,32.2,45.96,43.29,2862.8,12.8,0
2024-01-01 22:00:00,1,59.93,28.74,48.13,55.21,2948.7,9.6,0
2024-01-01 23:00:00,5,50.24,31.94,48.18,42.82,3133.5,10.06,0
2024-01-02 00:00:00,4,43.08,28.97,47.1,30.23,3180.7,9.52,0
2024-01-02 01:00:00,4,43.5,29.88,48.78,46.64,3175.5,10.29,0
2024-01-02 02:00:00,3,54.92,24.84,47.47,45.49,2913.0,9.66,0
2024-01-02 03:00:00,5,58.76,24.85,48.19,43.17,2797.9,10.67,0
2024-01-02 04:00:00,3,36.39,34.12,47.93,40.0,3180.6,7.96,0
2024-01-02 05:00:00,3,50.55,31.18,47.32,27.73,3387.7,9.16,0
2024-01-02 06:00:00,3,19.53,22.89,46.85,27.35,2970.0,6.85,0
2024-01-02 07:00:00,2,53.18,28.9,47.32,54.19,2877.4,10.73,0
2024-01-02 08:00:00,1,61.43,16.13,48.23,38.97,3036.9,11.75,0
2024-01-02 09:00:00,3,45.8,25.13,47.03,49.05,3170.4,9.31,0
2024-01-02 10:00:00,5,77.25,32.81,47.67,32.64,3107.9,13.06,0
2024-01-02 11:00:00,1,36.78,27.37,46.55,34.51,3355.0,8.58,1
2024-01-02 12:00:00,5,53.26,28.59,48.25,47.41,3291.5,10.6,0
2024-01-02 13:00:00,5,49.46,12.92,47.82,41.76,3135.8,10.52,0
2024-01-02 14:00:00,2,48.5,26.04,46.31,46.19,2706.1,9.75,0
2024-01-02 15:00:00,4,48.29,29.69,47.29,42.32,2958.1,10.37,0
2024-01-02 16:00:00,1,51.61,30.33,48.42,41.13,2993.6,9.55,0
2024-01-02 17:00:00,4,62.72,32.81,46.11,38.38,2976.1,11.6,0
2024-01-02 18:00:00,4,70.67,26.95,46.22,35.18,3179.5,12.58,0
2024-01-02 19:00:00,2,49.97,27.17,47.43,52.32,3142.2,10.46,0
2024-01-02 20:00:00,1,62.23,21.34,49.51,54.08,2789.6,10.63,0
2024-01-02 21:00:00,5,39.47,26.98,46.93,34.7,3239.9,8.84,0
2024-01-02 22:00:00,3,61.49,21.69,47.88,35.35,3126.2,11.3,0
2024-01-02 23:00:00,5,38.57,18.76,47.87,39.49,3148.7,9.08,0
2024-01-03 00:00:00,4,66.36,22.57,46.75,45.7,3281.7,11.69,1
2024-01-03 01:00:00,4,83.16,35.54,47.33,42.89,3012.9,14.03,0
2024-01-03 02:00:00,4,48.17,26.65,47.07,45.91,3348.1,9.17,0
2024-01-03 03:00:00,1,17.11,29.1,47.47,40.51,3005.9,6.59,0
2024-01-03 04:00:00,2,41.78,25.43,45.92,41.29,3386.1,8.33,0
2024-01-03 05:00:00,3,68.48,19.05,47.29,60.32,2958.2,12.16,1
2024-01-03 06:00:00,3,58.3,32.68,48.32,39.24,3404.2,11.11,0
2024-01-03 07:00:00,1,53.73,17.14,47.52,54.17,2926.7,12.05,0
2024-01-03 08:00:00,3,65.13,25.23,48.44,53.38,3640.0,12.03,0
2024-01-03 09:00:00,1,57.27,27.73,48.01,46.39,2924.2,10.89,0
2024-01-03 10:00:00,4,68.27,29.15,47.26,29.93,3347.8,11.95,0
2024-01-03 11:00:00,4,63.79,24.37,46.73,43.41,3055.1,11.22,0
2024-01-03 12:00:00,5,72.83,18.81,46.79,40.04,3288.7,12.35,0
2024-01-03 13:00:00,4,55.38,23.99,45.98,42.91,3102.7,10.68,0
2024-01-03 14:00:00,2,63.58,24.26,47.1,35.74,2908.9,10.38,0
2024-01-03 15:00:00,5,45.39,24.13,47.69,47.56,2531.4,9.64,0
2024-01-03 16:00:00,3,40.98,32.85,49.31,48.94,3583.5,9.15,0
2024-01-03 17:00:00,2,75.6,21.93,47.77,51.97,3165.8,13.44,0
2024-01-03 18:00:00,5,53.24,29.5,46.6,39.99,2517.8,10.26,0
2024-01-03 19:00:00,2,62.07,28.79,45.94,35.69,3184.7,10.82,0
2024-01-03 20:00:00,1,51.86,32.8,47.27,45.05,3241.6,10.32,0
2024-01-03 21:00:00,3,41.2,27.33,48.4,54.35,2939.4,9.16,0
2024-01-03 22:00:00,4,50.16,31.96,47.28,42.99,2958.7,9.95,0
2024-01-03 23:00:00,1,71.54,27.14,47.83,46.74,3139.1,11.51,0
2024-01-04 00:00:00,3,58.33,30.17,47.24,41.27,3357.2,10.75,0
2024-01-04 01:00:00,1,24.33,20.49,48.47,37.69,3068.6,7.14,0
2024-01-04 02:00:00,4,46.77,14.81,45.94,46.95,3386.2,9.57,0
2024-01-04 03:00:00,3,76.73,29.89,48.84,43.09,3379.7,13.04,0
2024-01-04 04:00:00,2,46.79,30.16,46.42,45.16,3047.8,9.34,1
2024-01-04 05:00:00,2,22.99,30.38,48.56,44.7,2731.9,7.19,0
2024-01-04 06:00:00,3,78.4,25.38,46.94,46.35,3111.5,13.11,0
2024-01-04 07:00:00,4,60.24,35.45,47.28,46.92,3225.8,10.89,0
2024-01-04 08:00:00,5,48.95,25.7,47.27,36.48,3109.9,11.2,0
2024-01-04 09:00:00,3,44.43,30.1,47.81,35.82,3215.7,9.57,0
2024-01-04 10:00:00,1,66.24,30.97,47.8,43.01,3305.2,11.0,0
2024-01-04 11:00:00,5,41.87,36.59,48.64,41.96,3189.9,8.77,0
2024-01-04 12:00:00,4,67.22,26.41,48.74,39.7,3079.4,11.25,0
2024-01-04 13:00:00,4,58.13,24.73,47.75,44.59,3220.2,10.4,0
2024-01-04 14:00:00,1,53.67,20.51,49.18,49.04,3554.4,10.64,0
2024-01-04 15:00:00,2,52.18,35.76,47.57,50.92,2806.4,9.67,1
2024-01-04 16:00:00,4,47.38,30.11,48.6,52.25,3192.2,9.57,0
2024-01-04 17:00:00,5,65.68,30.27,47.77,34.08,3497.8,12.14,0
2024-01-04 18:00:00,3,37.02,43.58,47.08,33.71,2839.1,8.44,0
2024-01-04 19:00:00,5,25.67,29.63,47.92,39.26,3251.6,7.9,0
2024-01-04 20:00:00,5,59.22,21.49,47.91,43.52,3345.4,10.08,0
2024-01-04 21:00:00,2,59.47,27.02,47.37,41.3,2823.6,10.76,0
2024-01-04 22:00:00,5,57.2,23.13,47.84,38.99,3256.9,10.28,0
2024-01-04 23:00:00,2,56.12,26.02,48.3,40.67,3058.0,10.76,0
2024-01-05 00:00:00,2,45.19,25.99,47.52,45.64,3078.3,9.0,0
2024-01-05 01:00:00,4,61.81,25.06,44.44,33.78,3058.6,12.22,0
2024-01-05 02:00:00,4,49.32,21.03,49.19,58.87,3361.2,9.11,0
2024-01-05 03:00:00,1,42.69,35.96,47.28,42.28,3063.0,9.84,0
2024-01-05 04:00:00,5,45.32,29.49,46.72,49.62,2998.0,9.97,0
2024-01-05 05:00:00,1,80.31,26.87,46.07,39.96,3071.3,13.19,1
2024-01-05 06:00:00,5,23.98,31.79,47.42,45.22,2979.8,7.42,0
2024-01-05 07:00:00,1,57.5,30.36,46.86,43.58,2899.1,11.68,1
2024-01-05 08:00:00,4,24.81,29.38,47.01,47.24,2955.2,8.72,0
2024-01-05 09:00:00,4,48.38,31.42,46.83,41.03,3120.3,9.73,1
2024-01-05 10:00:00,4,43.5,28.67,48.09,53.04,3167.9,9.43,0
2024-01-05 11:00:00,4,18.72,31.35,49.84,30.49,3278.3,6.6,0
2024-01-05 12:00:00,3,55.84,31.77,48.26,49.44,3159.9,10.0,0
2024-01-05 13:00:00,4,44.3,28.81,48.68,43.05,2993.7,9.66,0
2024-01-05 14:00:00,2,18.51,26.9,47.44,33.8,2834.8,6.98,0
2024-01-05 15:00:00,4,62.59,35.65,47.48,56.79,3184.1,10.45,1
2024-01-05 16:00:00,3,71.53,25.61,47.71,56.52,3119.6,12.38,0
2024-01-05 17:00:00,3,72.35,29.96,46.62,29.1,3127.8,12.38,0
2024-01-05 18:00:00,3,55.38,30.07,47.02,44.01,3163.3,10.24,0
2024-01-05 19:00:00,3,50.69,24.95,48.35,47.47,3205.3,9.74,0
2024-01-05 20:00:00,1,69.92,23.96,48.39,46.59,3193.8,12.2,0
2024-01-05 21:00:00,1,75.24,26.23,47.32,54.37,3116.4,13.33,1
2024-01-05 22:00:00,2,67.0,25.54,46.13,52.5,2973.7,11.9,1
2024-01-05 23:00:00,1,35.88,20.71,47.35,43.65,2949.2,8.98,0
2024-01-06 00:00:00,3,53.02,24.74,46.03,58.59,3275.7,9.89,1
2024-01-06 01:00:00,4,56.59,29.33,47.51,49.39,3028.5,10.45,0
2024-01-06 02:00:00,4,22.86,34.33,48.03,38.68,2776.5,7.59,0
2024-01-06 03:00:00,3,57.04,30.77,47.16,38.99,3346.0,10.02,0
2024-01-06 04:00:00,5,84.09,15.0,47.4,52.91,2979.7,13.51,0
2024-01-06 05:00:00,3,59.6,31.21,47.82,37.43,3126.2,11.21,0
2024-01-06 06:00:00,1,72.1,25.21,47.54,40.74,3242.4,12.19,0
2024-01-06 07:00:00,4,52.74,30.27,46.27,40.96,3106.1,10.43,0
2024-01-06 08:00:00,3,48.9,27.93,47.26,44.93,2602.2,9.92,0
2024-01-06 09:00:00,4,55.72,27.04,47.85,41.43,3189.5,10.26,0
2024-01-06 10:00:00,3,37.76,27.49,49.2,32.67,3340.8,8.19,0
2024-01-06 11:00:00,3,35.54,27.89,47.37,49.91,3228.4,8.51,0
2024-01-06 12:00:00,1,68.99,34.72,47.86,40.62,2713.2,12.55,0
2024-01-06 13:00:00,3,70.59,27.9,48.17,57.67,3566.6,12.57,1
2024-01-06 14:00:00,4,35.13,33.43,47.45,43.88,2805.1,8.34,0
2024-01-06 15:00:00,2,64.52,32.7,48.5,52.1,2913.4,11.27,1
2024-01-06 16:00:00,4,48.7,31.34,48.72,46.85,3253.8,9.65,0
2024-01-06 17:00:00,1,55.1,19.07,48.83,51.96,3200.8,10.29,0
2024-01-06 18:00:00,2,56.9,33.58,47.89,46.84,3129.9,10.83,0
2024-01-06 19:00:00,3,64.92,25.71,49.71,44.89,3015.9,12.02,0
2024-01-06 20:00:00,5,51.24,31.58,46.87,50.21,3368.7,11.26,0
2024-01-06 21:00:00,2,71.15,23.14,49.41,60.96,3134.4,11.7,0
2024-01-06 22:00:00,2,54.64,22.07,48.22,40.84,2796.1,10.79,0
2024-01-06 23:00:00,3,59.36,37.88,48.75,48.53,3365.2,11.21,0
2024-01-07 00:00:00,5,37.5,23.22,47.3,41.84,3118.9,8.59,0
2024-01-07 01:00:00,5,82.38,33.73,48.02,47.66,3387.8,12.72,0
2024-01-07 02:00:00,1,57.05,28.59,48.86,43.15,3228.6,10.84,0
2024-01-07 03:00:00,2,60.69,25.9,46.31,27.93,3599.7,12.13,0
2024-01-07 04:00:00,5,25.88,27.78,47.58,39.89,2989.8,7.72,0
2024-01-07 05:00:00,1,37.66,21.49,45.48,48.88,3078.5,8.37,1
2024-01-07 06:00:00,5,68.57,27.93,47.14,38.07,3281.1,11.78,0
2024-01-07 07:00:00,2,54.3,22.59,46.64,49.16,3047.8,9.86,0
2024-01-07 08:00:00,5,21.29,26.02,47.57,42.35,3203.1,7.14,0
2024-01-07 09:00:00,2,65.57,32.63,50.27,41.94,2541.7,11.9,0
2024-01-07 10:00:00,3,41.84,29.27,49.3,48.43,3069.1,8.84,0
2024-01-07 11:00:00,4,71.17,20.59,45.85,48.33,3121.7,10.49,0
2024-01-07 12:00:00,1,48.68,32.26,48.07,45.38,3069.5,10.01,0
2024-01-07 13:00:00,3,53.07,27.96,48.27,49.76,2930.8,10.06,0
2024-01-07 14:00:00,3,67.68,25.29,46.99,44.81,3316.6,11.39,0
2024-01-07 15:00:00,4,36.54,31.73,47.81,30.31,2972.2,8.27,0
2024-01-07 16:00:00,5,35.11,27.16,47.92,39.11,3110.3,8.71,0
2024-01-07 17:00:00,4,47.05,22.17,46.18,29.72,3086.7,9.5,0
2024-01-07 18:00:00,3,62.41,37.24,46.34,47.72,3224.9,11.71,0
2024-01-07 19:00:00,3,30.04,27.91,47.87,47.78,3346.3,8.48,0
2024-01-07 20:00:00,3,24.98,27.59,47.85,47.84,3089.0,7.36,0
2024-01-07 21:00:00,5,62.36,25.97,46.67,46.54,3293.0,10.98,0
2024-01-07 22:00:00,2,40.96,33.9,46.8,48.82,3110.9,9.16,0
2024-01-07 23:00:00,1,44.12,25.38,47.47,31.17,2987.0,9.34,0
2024-01-08 00:00:00,2,22.15,20.28,48.66,40.35,3016.0,6.34,0
2024-01-08 01:00:00,1,39.82,24.61,47.53,32.09,3022.9,9.94,0
2024-01-08 02:00:00,1,49.89,34.63,49.12,39.99,3213.4,10.35,0
2024-01-08 03:00:00,1,63.96,32.16,46.66,54.51,3149.2,11.16,0
2024-01-08 04:00:00,4,38.43,26.72,47.81,49.57,2918.0,7.88,0
2024-01-08 05:00:00,4,74.86,34.87,46.9,48.38,3105.3,12.4,1
2024-01-08 06:00:00,4,39.73,31.74,48.19,40.72,2774.3,8.68,0
2024-01-08 07:00:00,3,39.75,26.67,46.82,35.03,3042.6,8.95,0
2024-01-08 08:00:00,4,73.06,27.17,49.2,44.96,3146.4,11.22,0
2024-01-08 09:00:00,1,53.17,29.65,45.78,50.43,3468.0,10.08,1
2024-01-08 10:00:00,5,41.72,23.84,49.3,44.96,3353.1,8.97,0
2024-01-08 11:00:00,3,47.67,28.02,47.61,31.28,2888.5,9.67,0
2024-01-08 12:00:00,5,70.3,29.54,47.85,44.25,3180.9,11.91,0
2024-01-08 13:00:00,1,71.99,19.57,48.61,30.21,3187.8,12.23,0
2024-01-08 14:00:00,3,37.75,27.05,48.48,47.52,3029.4,9.54,0
2024-01-08 15:00:00,4,49.36,26.48,46.78,37.62,3065.4,9.68,0
2024-01-08 16:00:00,3,51.35,33.14,48.09,34.01,3031.9,9.68,0
2024-01-08 17:00:00,3,35.21,18.78,49.52,47.49,3445.0,7.66,0
2024-01-08 18:00:00,1,49.16,26.09,46.62,46.37,3015.1,9.66,0
2024-01-08 19:00:00,2,50.08,25.59,49.62,44.13,3168.3,9.31,0
2024-01-08 20:00:00,2,67.1,32.8,47.71,58.7,2628.4,12.19,0
2024-01-08 21:00:00,2,68.11,27.78,46.89,47.85,3300.9,11.76,0
2024-01-08 22:00:00,4,45.06,36.98,46.66,37.74,3327.0,9.98,0
2024-01-08 23:00:00,4,46.79,31.31,47.31,45.97,2883.2,10.41,0
2024-01-09 00:00:00,4,59.96,25.95,45.45,41.0,3017.6,10.56,1
2024-01-09 01:00:00,2,41.22,29.2,47.17,50.93,3172.7,8.95,0
2024-01-09 02:00:00,5,58.83,26.23,47.15,44.91,3121.6,11.55,0
2024-01-09 03:00:00,1,48.68,32.3,46.44,45.09,3190.6,9.96,0
2024-01-09 04:00:00,2,35.46,21.34,48.39,31.68,3013.5,8.81,0
2024-01-09 05:00:00,1,35.65,23.88,47.42,42.21,3443.9,9.08,0
2024-01-09 06:00:00,2,71.71,30.28,46.65,43.19,3009.5,12.62,0
2024-01-09 07:00:00,5,47.65,34.13,47.2,35.21,3633.6,9.97,0
2024-01-09 08:00:00,2,74.61,16.99,47.61,42.18,3397.6,13.16,0
